index,Sharpe,Sortino,Max_Drawdown,amfi_code,alpha,expense_ratio_pct
100016,-0.2015170675596694,-0.35104746015230903,-0.24734440880673303,100016,,1.55
100025,-0.5670947928476847,-0.9418212366054207,-0.04308263824636349,100025,,0.56
100033,1.0936987435346308,1.8291339615146938,-0.16217208574644848,100033,,1.38
101206,1.0272133278753697,1.7995628746984524,-0.11291596329323073,101206,,1.6
101207,0.1626607692864677,0.27664379626092334,-0.3544691649336603,101207,,1.53
101208,-0.8155673679088278,-1.6810378667512837,-0.0016224980244717857,101208,,0.79
102885,0.8170993373494368,1.4357420130649492,-0.1085986215250232,102885,,1.57
102886,-0.20583160785470314,-0.34722230254727277,-0.2800112356639287,102886,,1.51
102887,0.6195175900829828,1.0887552508030012,-0.21539827112383225,102887,,1.64
118632,1.0816591793457044,1.8501325468557266,-0.17414075086657232,118632,,1.51
118633,0.6452074382933215,1.1544757169236237,-0.18629743138595511,118633,,0.72
118634,0.44843400890899127,0.7460146308533572,-0.2334488614483311,118634,,1.53
118635,0.6648569985490619,1.137976718780742,-0.1165062450540909,118635,,0.89
118636,-0.35662950751436795,-0.6135251287271027,-0.08316361763638702,118636,,0.55
119092,0.030784850954585913,0.05257398559304797,-0.1440161790933726,119092,,1.64
119093,0.12961449795669325,0.22108683979276345,-0.21751396370148224,119093,,0.75
119094,0.9982309868636414,1.7037974802463,-0.20960883862039192,119094,,1.38
119095,-0.07597357117478923,-0.12818559275851932,-0.5167775370852656,119095,,1.38
119120,-0.22657538662791596,-0.3767670081706672,-0.04328728923970093,119120,,0.77
119551,1.2082665673727175,2.140267129061793,-0.1501238549864533,119551,,1.54
119552,0.9532794968660103,1.609776489628308,-0.11803493502764295,119552,,0.66
119598,0.9453082575156093,1.6753165700125516,-0.2870600572176455,119598,,1.43
119599,-0.05718662582817997,-0.09438726129459606,-0.5257422117012851,119599,,0.72
120503,0.7979728586052847,1.3379431500669239,-0.13897862823061635,120503,,1.42
120504,1.0265242847993004,1.8052937940992548,-0.12588275606922517,120504,,0.8
120505,1.1801011976606497,2.0293529404657464,-0.18188513572116294,120505,,1.36
120506,0.6488787755249533,1.0958951614736467,-0.1982565826298267,120506,,1.41
120507,0.4957233929533124,1.0521238822609293,-0.0009773140045925555,120507,,0.74
120841,0.49427253786723496,0.862573884991658,-0.1757361416468729,120841,,1.59
120842,0.07599984804658916,0.12469346986475664,-0.24003511326274884,120842,,1.56
120843,1.3067439695428407,2.364320032166718,-0.1297396816518679,120843,,1.45
120844,-0.08874729621557331,-0.1877230477424232,-0.0011629327956168556,120844,,0.6
125497,0.7757902498211207,1.3306512447571366,-0.15200013055606398,125497,,0.92
125498,0.30061192104254775,0.508812819716923,-0.21117279560132118,125498,,0.78
148567,1.4482911703262595,2.385644373368818,-0.11265729075028275,148567,,1.46
148568,0.9262873467360148,1.6327409778735165,-0.1527259422823477,148568,,1.52
148569,1.2349300257743296,2.1469139263460555,-0.1639674294693263,148569,,1.6
149322,0.4640374492204776,0.7621288703723165,-0.14844576917771746,149322,,1.54
149323,1.1321218524747245,1.875101063919208,-0.17248105753451382,149323,,1.61
149324,0.9497958246616031,1.619793176491409,-0.31171900300634214,149324,,1.52
